Page,Type,Content,X,Y,Width,Height,Style
"12","Text","",87.2999999999792,147.5,20,3.5,""
"12","Text"," ",87.2999999999792,115.5,20,3.5,"旧暦_カタカナ"
"12","Text"," ",87.2999999999792,83.5,20,3.49999999999999,"旧暦_カタカナ"
"12","Text"," ",87.2999999999792,51.5,20,3.49999999999999,"旧暦_カタカナ"
"12","Text"," ",87.3,19.5,20,3.5,"旧暦_カタカナ"
"12","Text"," ",52.3,19.5013888888882,20,3.5,"旧暦_カタカナ"
"12","Text","毎月第三金曜日と土曜日は 「おきなわ食材の日」",7.99999999999999,36.55,31,5.00000000000001,"おきなわ季節歴"
"12","Text","沖縄季節暦 　晩秋（11/1～12/1） 　冬（12/2～1/1）",7.99999999999999,26,31,8.99999999999999,"おきなわ季節歴"
"12","Text","2027",22.9999999999583,171,16.5014555326444,4,"[基本段落]"
"12","Text","令和８年",22,8.11666666666667,18,4.23333333333333,"元号"
"12","Text","2026",6,6.99999999999999,15,6,"西暦"
"12","Text","12",6.50000000000001,13.9329722222222,11.6167264857313,10.5833333333333,"月"
"12","Text","December",20,19.63,21,4.58611111111111,"月_英語表記"
"12","Text","しわーし",20,17.1605555555555,17.5,2.46944444444444,"月_方言"
"13","Text","",6,6.99999999999999,284,196.125,"[段落スタイルなし]"
"15","Text"," ",255,38.6,33.0000000000001,2.89999999999998,"行事"
"15","Text"," ",149.999999999958,38.6,33,2.89999999999998,"行事"
"15","Text","初荷・初夢 ",219.999999999938,38.6,33,2.89999999999998,"行事"
"14","Text"," ",111,38.6,33,2.89999999999998,"行事"
"15","Text","元日 ",184.999999999958,38.5,33,2.89999999999998,"行事"
"14","Text"," ",75.9999999999792,38.6,33,2.89999999999998,"行事"
"15","Text"," ",255,134.6,33.0000000000001,2.89999999999998,"行事"
"15","Text"," ",255,102.599999999968,33.0000000000001,2.89999999999999,"行事"
"15","Text"," ",255,70.6,33.0000000000001,2.89999999999998,"行事"
"15","Text"," ",149.999999999958,166.600000000032,33,2.89999999999998,"行事"
"15","Text"," ",149.999999999958,134.6,33,2.89999999999998,"行事"
"15","Text","尖閣諸島開拓の日 ",149.999999999958,102.599999999968,33,2.89999999999999,"行事"
"15","Text","七草 ",149.999999999958,70.6,33,2.89999999999998,"行事一覧"
"15","Text"," ",219.999999999938,166.600000000032,33,2.89999999999998,"行事"
"15","Text"," ",219.999999999938,134.6,33,2.89999999999998,"行事"
"15","Text"," ",219.999999999938,102.599999999968,33,2.89999999999999,"行事"
"15","Text"," ",219.999999999938,70.6,33,2.89999999999998,"行事"
"14","Text"," ",111,166.600000000032,33,2.89999999999998,"行事"
"14","Text","大寒 ",111,134.6,33,2.89999999999998,"行事一覧"
"14","Text"," ",111,102.599999999968,33,2.89999999999999,"行事"
"14","Text"," ",111,70.6,33,2.89999999999998,"行事"
"15","Text"," ",184.999999999958,166.600000000032,33,2.89999999999998,"行事"
"15","Text"," ",184.999999999958,134.6,33,2.89999999999998,"行事"
"15","Text"," ",184.999999999958,70.6,33,2.89999999999998,"行事"
"14","Text","",75.9999999999792,198.599999999936,33,2.90000000000006,""
"14","Text"," ",75.9999999999792,166.600000000032,33,2.89999999999998,"行事"
"14","Text"," ",75.9999999999792,134.6,33,2.89999999999998,"行事"
"14","Text"," ",75.9999999999792,102.599999999968,33,2.89999999999999,"行事"
"14","Text","小寒 ",75.9999999999792,70.6,33,2.89999999999998,"行事一覧"
"14","Text","",40.9899999999583,198.599999999936,33,2.90000000000006,""
